Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year
Bryce Cotton,PROV,35,39.9,21.8,6.6,15.7,0.419,2.2,6,0.367,6.5,7.6,0.853,0.5,3,3.5,5.9,1,0.1,2.4,1.5,2014
Bryce Dejean-Jones,UNLV,31,27.4,13.6,4.7,11,0.427,1,3.1,0.323,3.2,5,0.643,0.9,2.8,3.7,3,0.7,0.3,1.7,2.1,2014
Bryce Fowler,CSUS,29,33.4,19,7.5,15,0.499,0.7,2,0.322,3.4,4.9,0.692,0.9,4.3,5.3,4,1.4,0.3,2.4,2.3,2022
Bryce Hamilton,UNLV,32,32.2,21.8,7.6,17.8,0.43,2.5,7.2,0.346,4,5.3,0.768,0.7,4.3,5,2.2,0.8,0.1,1.9,1.8,2022
Bryce McBride,EMU,18,31.8,13.7,3.9,9.9,0.391,1.9,5.5,0.343,4,4.8,0.837,1,1.4,2.4,2.6,1.4,0.1,2,2.2,2021
Bryce McGowens,UNL,31,33.3,16.8,5.2,12.8,0.403,1.3,4.7,0.274,5.2,6.3,0.831,0.7,4.5,5.2,1.4,0.7,0.3,2.1,2,2022
Bryce Pressley,UP,32,31.4,14.7,5.3,11.4,0.467,2,5.1,0.384,2.1,2.8,0.753,1.3,3.3,4.6,2.4,1.3,0.5,1.1,2,2016
Bryn Forbes,MSU,35,28,14.4,4.7,9.8,0.481,3.2,6.7,0.481,1.8,2.1,0.84,0.3,1.7,2.1,1.5,0.4,0,0.9,1.5,2016
Brynton Lemar,UCD,36,33,16.1,5,12,0.414,2.2,5.8,0.385,4,5.1,0.773,0.6,2.7,3.3,2.6,0.8,0.1,1.8,2.1,2017
Bryon Allen,GMU,29,33.9,15.4,5.4,11.9,0.451,1.5,3.8,0.391,3.2,3.8,0.836,1,3,3.9,3,1,0,2.1,2.3,2014
Bryson Mozone,USCU,32,33.2,15.8,5.6,12.5,0.446,2.2,5.8,0.386,2.4,2.8,0.856,0.9,4.8,5.7,1.3,0.8,0.3,1.7,2.1,2022
Bryson Robinson,UNO,30,33.9,17.9,5.4,13.4,0.404,2.9,8.1,0.358,4.2,4.8,0.874,0.6,3.5,4.1,2.6,1.3,0.1,2.3,1.9,2020
Bryson Scott,IPFW,33,31.1,22.6,7.5,16.4,0.457,1.5,5.1,0.296,6.1,7.5,0.818,0.6,3.9,4.5,2.6,2,0.2,2.8,2,2018
Bryson Williams,TTU,37,25.6,14.1,5.5,10.3,0.535,1.1,2.6,0.417,2,2.6,0.755,1.4,2.8,4.2,1.1,0.5,0.4,1.3,2.2,2022
Bubba Parham,VMI,32,33.9,21.4,6.6,15.4,0.425,3.6,9.1,0.397,4.7,5.9,0.794,0.3,3.1,3.4,3.5,0.6,0,2.6,1.9,2019
Buddy Boeheim,SU,32,37.8,19.2,6.7,16.4,0.406,2.8,8,0.342,3.1,3.5,0.884,0.6,2.8,3.4,3.1,1.5,0.1,1.8,1.7,2022
Buddy Hield,OU,37,35.4,25,8.1,16.2,0.501,4,8.7,0.457,4.8,5.4,0.88,1.2,4.5,5.7,2,1.1,0.5,3.1,2.1,2016
Bul Kuol,UDM,22,36.1,15.6,5.4,11.8,0.458,2.5,5.9,0.415,2.3,3,0.785,1.2,3.6,4.8,2,1.3,0.5,2.3,2.3,2021
Burak Eslik,SIUE,28,32.5,14,3.9,10.1,0.383,1.6,4.8,0.338,4.7,5.5,0.845,0.4,2.2,2.6,1.3,0.5,0,1.6,1.6,2016
Byron Wesley,USC,30,34.6,17.8,6.4,13.6,0.467,0.8,2.4,0.338,4.2,5.9,0.713,1.5,4.9,6.4,2.3,0.9,0.3,2,1.7,2014
